/ Dataset:E:\data\storage\2\5\1\4\0003\Acoustic properties (Vp, Vs, density) - CSV - Point Data.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,Access_Num,Sample_Num,District,Mode,Wet_Dry,Comments,Rock_type,Latitude,Longitude,Prop_Dir,Vib_Dir,Density,V_10,V_20,V_40,V_60,V_80,V_100,V_200,V_400,V_600,V_800,V_1000
-101.88,54.7700000009,3700.0,,"Flin Flon, Manitoba",P,D,"Qtz,fs-phyric;massive;ser,chl,calc.alt;bedding 60 to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,5.9,5.9,6.0,6.0,6.1,6.1,6.2,6.2,6.2,*,*,
-101.88,54.7700000009,3701.0,,"Flin Flon, Manitoba",P,D,"ser,minor po,py;massive, bedding 70 degrees to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.9,*,5.8,5.9,5.9,6.0,6.0,6.1,6.2,6.2,*,*,
-101.88,54.7700000009,3702.0,,"Flin Flon, Manitoba",S,D,"ser,minor po,py;massive, bedding 70 degrees to core axis",Rhyolite,54.8,-101.9,n.a.,n.a.,2.9,*,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,*,*,
-101.88,54.7700000009,3703.0,,"Flin Flon, Manitoba",P,D,"Qtz,fs-phyric;massive",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,5.6,5.8,5.9,6.0,6.0,6.0,6.1,6.2,6.2,*,*,
-101.88,54.7700000009,3704.0,,"Flin Flon, Manitoba",P,D,"Qtz,fs-phyric;massive",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,*,5.9,6.0,6.0,6.0,6.1,6.1,6.2,6.2,*,*,
-101.88,54.7700000009,3705.0,,"Flin Flon, Manitoba",S,D,"Qtz,fs-phyric;massive",Rhyolite,54.8,-101.9,n.a.,n.a.,2.7,3.5,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,*,*,
-101.88,54.7700000009,3706.0,,"Flin Flon, Manitoba",P,D,fs-phyric;volcaniclastic,Basalt,54.8,-101.9,n.a.,n.a.,3.0,6.7,6.8,6.8,6.9,6.9,6.9,7.0,7.0,7.0,*,*,
-101.88,54.7700000009,3707.0,,"Flin Flon, Manitoba",S,D,fs-phyric;volcaniclastic,Basalt,54.8,-101.9,n.a.,n.a.,3.0,*,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,*,*,
-101.88,54.7700000009,3708.0,,"Flin Flon, Manitoba",P,D,fs-phyric;volcaniclastic,Basalt,54.8,-101.9,n.a.,n.a.,2.9,6.1,6.2,6.4,6.5,6.5,6.6,6.8,6.9,6.9,*,*,
-101.88,54.7700000009,3709.0,,"Flin Flon, Manitoba",P,D,fs-phyric;volcaniclastic,Basalt,54.8,-101.9,n.a.,n.a.,2.9,6.3,6.3,6.4,6.4,6.5,6.5,6.6,6.7,6.7,*,*,
-101.88,54.7700000009,3710.0,,"Flin Flon, Manitoba",P,D,fs-phyric;volcaniclastic,Basalt,54.8,-101.9,n.a.,n.a.,3.2,6.8,6.9,6.9,7.0,7.0,7.1,7.2,7.2,7.3,*,*,
-101.88,54.7700000009,3711.0,,"Flin Flon, Manitoba",P,D,,"Pyroxene gabbro",54.8,-101.9,n.a.,n.a.,3.0,6.0,6.1,6.1,6.2,6.2,6.3,6.4,6.4,6.4,*,*,
-101.88,54.7700000009,3712.0,,"Flin Flon, Manitoba",S,D,,"Pyroxene gabbro",54.8,-101.9,n.a.,n.a.,3.0,*,3.6,3.7,3.7,3.7,3.7,3.8,3.8,3.8,*,*,
-101.88,54.7700000009,3713.0,,"Flin Flon, Manitoba",P,D,,"Pyroxene gabbro",54.8,-101.9,n.a.,n.a.,3.0,5.9,6.0,6.1,6.1,6.2,6.2,6.3,6.4,6.4,*,*,
-101.88,54.7700000009,3714.0,,"Flin Flon, Manitoba",P,D,,"Pyroxene gabbro",54.8,-101.9,n.a.,n.a.,3.0,6.1,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,*,*,
-101.88,54.7700000009,3715.0,,"Flin Flon, Manitoba",P,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,3.0,*,6.4,6.4,6.4,6.4,6.5,6.5,6.6,6.6,*,*,
-101.88,54.7700000009,3716.0,,"Flin Flon, Manitoba",P,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,3.0,6.7,6.7,6.8,6.8,6.8,6.9,6.9,7.0,7.0,*,*,
-101.88,54.7700000009,3717.0,,"Flin Flon, Manitoba",P,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,2.8,*,6.2,6.2,6.3,6.3,6.3,6.4,6.4,6.5,*,*,
-101.88,54.7700000009,3718.0,,"Flin Flon, Manitoba",P,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,3.0,6.4,6.5,6.5,6.5,6.6,6.6,6.7,6.8,6.8,*,*,
-101.88,54.7700000009,3719.0,,"Flin Flon, Manitoba",P,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,3.0,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.6,6.6,*,*,
-101.88,54.7700000009,3720.0,,"Flin Flon, Manitoba",S,D,dioritic,Gabbro,54.8,-101.9,n.a.,n.a.,3.0,*,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,*,*,
-101.88,54.7700000009,3721.0,,"Flin Flon, Manitoba",P,D,"Qtz,fs-phyric",Porphyry,54.8,-101.9,n.a.,n.a.,2.7,*,*,5.8,6.0,6.1,6.2,6.3,6.4,6.4,*,*,
