/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-93.5541870596,49.6311818284,D001-0597,1-EPB,0.0,0.0,GREENSTONE,AR.MAF.VOLC.,2.8,,*,49.6,-93.6,*,
-93.2715112127,49.6423509213,D001-0660,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.8,,*,49.6,-93.3,*,
-93.1351731599,49.4313531972,D001-0660,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.4,-93.1,*,
-93.2951787346,49.6621839591,D001-0657,1-EPB,0.0,0.0,"ALBITE GRANITE",PR.FELS.INTR.,2.7,,*,49.7,-93.3,*,
-93.104005451,49.6938526886,D001-0660,1-EPB,0.0,0.0,"GREEN SCHIST",PR.VOLCANICS,2.6,,*,49.7,-93.1,*,
-93.5170186989,49.42484836,D001-0599,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.4,-93.5,*,
-93.5231860161,49.6126820905,D001-0600,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.6,-93.5,*,
-93.8646918644,49.3453397488,D001-0604,1-EPB,0.0,0.0,SCHIST,AR.MAF.VOLC.,1.8,,*,49.3,-93.9,*,
-93.041332266,49.35320616,D001-0660,1-EPB,0.0,0.0,GRANODIORITE,PR.FELS.INTR.,2.7,,*,49.4,-93.0,*,
-93.5180168111,49.3808598311,D001-0657,1-EPB,0.0,0.0,"MAFIC GNEISS",,2.7,,*,49.4,-93.5,*,
-91.7072898042,48.1203952997,D001-0198,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.1,-91.7,*,
-90.3979290216,48.1064048608,D001-0199,1-EPB,0.0,1.0,BASALT,,3.0,,*,48.1,-90.4,*,
-91.1911108746,48.1278908754,D001-0198,1-EPB,0.0,1.0,ANDESITE,,2.8,,*,48.1,-91.2,*,
-90.1895921812,48.1086566506,D001-0199,1-EPB,0.0,1.0,GABBRO,,2.9,,*,48.1,-90.2,*,
-91.3392794134,48.0752253857,D001-0198,1-EPB,0.0,1.0,"GREEN SCHIST",,2.7,,*,48.1,-91.3,*,
-91.5369506614,48.1598937467,D001-0198,1-EPB,0.0,1.0,GNEISS,,2.7,,*,48.2,-91.5,*,
-91.7951209451,48.3877361905,D001-0195,1-EPB,0.0,1.0,GRANITE,,2.5,,*,48.4,-91.8,*,
-91.6536139795,48.3799072721,D001-0254,1-EPB,0.0,1.0,ANORTHOSITE,,2.6,,*,48.4,-91.7,*,
-92.4231527332,48.4070717785,D001-0605,1-EPB,0.0,0.0,GRANITE,PR.METASED.,2.6,,*,48.4,-92.4,*,
-92.6728279276,48.4024073896,D001-0605,1-EPB,0.0,0.0,"MAFIC GNEISS",PR.METASED.,2.7,,*,48.4,-92.7,*,
-92.1196394473,48.3709022347,D001-0254,1-EPB,0.0,1.0,SCHIST,,2.7,,*,48.4,-92.1,*,
-92.3046448926,48.4810722231,D001-0605,1-EPB,0.0,0.0,GRANITE,PR.METASED.,2.6,,*,48.5,-92.3,*,
-91.603438361,48.4827480897,D001-0254,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-91.6,*,
-92.1084672633,48.4697394794,D001-0253,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-92.1,*,
-92.4789861675,48.4909074089,D001-0605,1-EPB,0.0,0.0,GRANITE,PR.METASED.,2.6,,*,48.5,-92.5,*,
-92.614323061,48.5040829072,D001-0605,1-EPB,0.0,0.0,GRANITE,PR.METASED.,2.6,,*,48.5,-92.6,*,
-91.9496273028,48.4369045485,D001-0195,1-EPB,0.0,1.0,HORNFELS,,2.7,,*,48.4,-91.9,*,
-91.8302937707,48.2135639429,D001-0254,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.2,-91.8,*,
-91.9452978543,48.3180670118,D001-0254,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.3,-91.9,*,
-91.7922902574,48.2852326808,D001-0254,1-EPB,0.0,1.0,AMPHIBOLITE,,2.7,,*,48.3,-91.8,*,
-91.9334429382,48.6859159958,D001-0195,1-EPB,0.0,1.0,DIORITE,,2.7,,*,48.7,-91.9,*,
-92.3018013989,48.6914113749,D001-0605,1-EPB,0.0,0.0,BASALT,PR.METASED.,2.7,,*,48.7,-92.3,*,
-91.7799433435,48.5180785771,D001-0195,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-91.8,*,
-91.7746029965,48.6249165748,D001-0195,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.6,-91.8,*,
-92.8169765626,48.5999407443,D001-0605,1-EPB,0.0,0.0,"MAFIC GNEISS",PR.METASED.,2.7,,*,48.6,-92.8,*,
-92.1374607668,48.5985789798,D001-0253,1-EPB,0.0,1.0,DIORITE,,2.7,,*,48.6,-92.1,*,
-91.3591129728,48.1727250505,D001-0198,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.2,-91.4,*,
-90.9716066866,48.4122241454,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.4,-91.0,*,
-91.3122766903,48.370729792,D001-0257,1-EPB,0.0,1.0,GNEISS,,2.7,,*,48.4,-91.3,*,
-91.4934439102,48.3644037506,D001-0198,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.4,-91.5,*,
-90.376758424,48.4685073186,D001-0197,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-90.4,*,
-91.3101010076,48.4770731057,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-91.3,*,
-91.4577696718,48.4719091361,D001-0198,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.5,-91.5,*,
-91.1295987922,48.4904050689,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.7,,*,48.5,-91.1,*,
-90.8202701557,48.5074489516,D001-0197,1-EPB,0.0,1.0,SCHIST,,2.6,,*,48.5,-90.8,*,
-90.6569340835,48.4385940455,D001-0258,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.4,-90.7,*,
-91.4747801657,48.2642305586,D001-0198,1-EPB,0.0,1.0,ORTHOCLASE,,2.5,,*,48.3,-91.5,*,
-91.2762778675,48.275893327,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.3,-91.3,*,
-90.5274324669,48.2082221975,D001-0258,1-EPB,0.0,1.0,SYENITE,,2.6,,*,48.2,-90.5,*,
-90.8304405819,48.2043878827,D001-0198,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.2,-90.8,*,
-90.7309377621,48.323054737,D001-0258,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.3,-90.7,*,
-90.5480987697,48.3400731189,D001-0258,1-EPB,0.0,1.0,"ACID GNEISS",,2.6,,*,48.3,-90.5,*,
-90.9029411631,48.3110548003,D001-0198,1-EPB,0.0,1.0,BASALT,,2.7,,*,48.3,-90.9,*,
-90.3467605852,48.2941239631,D001-0258,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.3,-90.3,*,
-91.4324245345,48.6775834174,D001-0197,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.7,-91.4,*,
-90.7442660088,48.6923672542,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.7,-90.7,*,
-90.9892607318,48.548241364,D001-0197,1-EPB,0.0,1.0,BASALT,,3.0,,*,48.5,-91.0,*,
-90.2354171115,48.6300569361,D001-0197,1-EPB,0.0,1.0,DIABASE,,3.0,,*,48.6,-90.2,*,
-91.2862530488,48.6205834796,D001-0197,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.6,-91.3,*,
-90.3169186912,48.6535547905,D001-0256,1-EPB,0.0,1.0,GABBRO,,2.9,,*,48.7,-90.3,*,
-91.4539259385,48.5940919217,D001-0257,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.6,-91.5,*,
-89.7105772412,48.1022150809,D001-0199,1-EPB,0.0,1.0,BASALT,,2.9,,*,48.1,-89.7,*,
-89.8682489348,47.9912148663,D001-0199,1-EPB,0.0,1.0,GABBRO,,3.0,,*,48.0,-89.9,*,
-89.4527348379,48.0450480712,D001-0199,1-EPB,0.0,1.0,BASALT,,2.9,,*,48.0,-89.5,*,
-89.6152402074,48.0485482541,D001-0199,1-EPB,0.0,1.0,DIORITE,,3.0,,*,48.0,-89.6,*,
-89.9907535749,48.0430471362,D001-0199,1-EPB,0.0,1.0,GABBRO,,2.9,,*,48.0,-90.0,*,
-89.5812403369,48.4398827522,D001-0258,1-EPB,0.0,1.0,SLATE,,2.7,,*,48.4,-89.6,*,
-88.8393760486,48.4577155333,D001-0200,1-EPB,0.0,1.0,SHALE,,2.6,,*,48.5,-88.8,*,
-89.031217593,48.2493807724,D001-0200,1-EPB,0.0,1.0,GABBRO,,2.9,,*,48.2,-89.0,*,
-90.1624239537,48.2601663523,D001-0258,1-EPB,0.0,1.0,GRANITE,,2.7,,*,48.3,-90.2,*,
-89.9857545668,48.2375444151,D001-0258,1-EPB,0.0,1.0,BASALT,,3.0,,*,48.2,-90.0,*,
-89.3095627424,48.23421451,D001-0199,1-EPB,0.0,1.0,BASALT,,3.0,,*,48.2,-89.3,*,
-88.09767934,48.6875518348,D001-0203,1-EPB,0.0,1.0,DIABASE,,2.8,,*,48.7,-88.1,*,
-89.2292242654,48.6767167499,D001-0259,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,48.7,-89.2,*,
-88.2453519552,48.669051822,D001-0260,1-EPB,0.0,1.0,ANORTHOSITE,,2.7,,*,48.7,-88.2,*,
-88.294353918,48.6683850361,D001-0259,1-EPB,0.0,1.0,BASALT,,2.9,,*,48.7,-88.3,*,
-88.1058463053,48.6893851724,D001-0260,1-EPB,0.0,1.0,BASALT,,2.9,,*,48.7,-88.1,*,
-88.8512097956,48.5213827448,D001-0200,1-EPB,0.0,1.0,GABBRO,,3.0,,*,48.5,-88.9,*,
-88.298688795,48.5217177342,D001-0259,1-EPB,0.0,1.0,BASALT,,2.9,,*,48.5,-88.3,*,
-88.9283796874,48.5202158516,D001-0200,1-EPB,0.0,1.0,GABBRO,,3.0,,*,48.5,-88.9,*,
-88.0360104408,48.662051704,D001-0260,1-EPB,0.0,1.0,DIABASE,,2.9,,*,48.7,-88.0,*,
-88.1570157521,48.6068845509,D001-0260,1-EPB,0.0,1.0,GABBRO,,2.8,,*,48.6,-88.2,*,
-89.0640511402,48.6580493344,D001-0258,1-EPB,0.0,1.0,BASALT,,2.7,,*,48.7,-89.1,*,
-88.0643449751,48.6483849082,D001-0203,1-EPB,0.0,1.0,DIABASE,,2.9,,*,48.6,-88.1,*,
-88.0843458509,48.6373848108,D001-0203,1-EPB,0.0,1.0,DIABASE,,2.9,,*,48.6,-88.1,*,
-88.176682908,48.6373847456,D001-0260,1-EPB,0.0,1.0,GABBRO,,2.9,,*,48.6,-88.2,*,
-88.3266896053,48.5557180362,D001-0259,1-EPB,0.0,1.0,BASALT,,2.8,,*,48.6,-88.3,*,
-89.0703853673,48.5815494318,D001-0258,1-EPB,0.0,1.0,GRANITE,,2.6,,*,48.6,-89.1,*,
-88.6653689795,48.5943847304,D001-0200,1-EPB,0.0,1.0,SANDSTONE,,2.6,,*,48.6,-88.7,*,
-91.619941125,49.0713359188,D001-0254,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.1,-91.6,*,
-92.5416364653,49.0537989289,D001-0598,1-EPB,0.0,0.0,"ACID GNEISS",PR.FELS.INTR.,2.6,,*,49.1,-92.5,*,
-91.7824359909,48.9795831147,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.0,-91.8,*,
-92.1912836994,48.9579161063,D001-0253,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.0,-92.2,*,
-91.8879397494,48.901416361,D001-0195,1-EPB,0.0,1.0,AMPHIBOLITE,,3.0,,*,48.9,-91.9,*,
-91.7657689585,48.8759164571,D001-0196,1-EPB,0.0,1.0,GNEISS,,2.7,,*,48.9,-91.8,*,
-91.5974297859,48.9019167111,D001-0254,1-EPB,0.0,1.0,SYENODIORITE,,2.6,,*,48.9,-91.6,*,
-92.7743012875,49.0434565204,D001-0606,1-EPB,0.0,0.0,"ACID GNEISS",PR.FELS.INTR.,2.6,,*,49.0,-92.8,*,
-92.104309644,49.2425411548,D001-0253,1-EPB,0.0,1.0,GABBRO,,3.0,,*,49.2,-92.1,*,
-91.9271369726,49.2420415993,D001-0194,1-EPB,0.0,1.0,GRANODIORITE,,2.6,,*,49.2,-91.9,*,
-91.775632194,49.2035430207,D001-0196,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.2,-91.8,*,
-91.612459038,49.1919858179,D001-0254,1-EPB,0.0,1.0,GRANITE,,2.6,,*,49.2,-91.6,*,
