/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-124.986650575,51.8431141399,D008-0108,1-EPB,0.0,0.0,"GREENSTONE      ","MINER  L",2.7,,*,51.8,-125.0,*,
-124.983619282,51.8566539088,D008-0108,1-EPB,0.0,0.0,"QUARZITE        ","MINER  L",2.8,,*,51.9,-125.0,*,
-124.954888625,51.863880898,D008-0108,1-EPB,0.0,0.0,"ARKOS C WACKE   ","MINER  L",2.6,,*,51.9,-125.0,*,
-125.864067199,51.8857407838,D008-0113,1-EPB,0.0,0.0,"SLATE           ",UNMAPPED,2.8,,*,51.9,-125.9,*,
-124.944390242,51.8730490035,D008-0109,1-EPB,0.0,0.0,"K-SPAR PORPHY   ","MINER L",2.8,,*,51.9,-124.9,*,
-125.499823766,50.8694919842,D001-0835,1-EPB,0.0,5515.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.9,-125.5,*,
-125.797992001,50.7256524119,D001-0835,1-EPB,0.0,4265.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.7,-125.8,*,
-125.517485868,50.7653241304,D001-0834,1-EPB,0.0,4983.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.8,-125.5,*,
-125.190314356,50.7783275784,D001-0835,1-EPB,0.0,6176.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.8,-125.2,*,
-125.20632446,50.9626650056,D001-0835,1-EPB,0.0,8266.0,GRANODIORITE,MES.FELS.INTR.,2.8,,*,51.0,-125.2,*,
-125.338822869,50.90016044,D001-0835,1-EPB,0.0,7214.0,"MAFIC GNEISS",MES.FELS.INTR.,2.9,,*,50.9,-125.3,*,
-128.051455449,50.877976084,D007-0022,1-EPB,0.0,0.0,"BASALT          ",,3.0,,*,50.9,-128.1,*,
-125.384643034,50.6091573065,D001-0835,1-EPB,0.0,4639.0,GABBRO,MES.FELS.INTR.,2.8,,*,50.6,-125.4,*,
-125.109630753,50.5316591542,D001-0836,1-EPB,0.0,5046.0,"MAFIC VOLCANIC",MES.FELS.INTR.,2.8,,*,50.5,-125.1,*,
-125.283136662,50.5564924634,D001-0835,1-EPB,0.0,5905.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.6,-125.3,*,
-125.049307109,50.6749955136,D001-0836,1-EPB,0.0,6325.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.7,-125.0,*,
-125.202808569,50.6846597548,D001-0835,1-EPB,0.0,5555.0,SYENITE,MES.FELS.INTR.,2.6,,*,50.7,-125.2,*,
-125.479479497,50.6329895706,D001-0835,1-EPB,0.0,4344.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.6,-125.5,*,
-125.885993142,50.6331502344,D001-0833,1-EPB,0.0,4312.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.6,-125.9,*,
-125.586815363,50.6434877355,D001-0834,1-EPB,0.0,4329.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.6,-125.6,*,
-127.114698042,49.8512951724,D007-0022,1-EPB,0.0,0.0,"GREENSTONE      ",,2.8,,*,49.9,-127.1,*,
-127.608053673,50.1079583521,D007-0022,1-EPB,0.0,0.0,"BASALT          ",,2.9,,*,50.1,-127.6,*,
-124.205420118,50.2181667671,D001-0836,1-EPB,0.0,6103.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.2,-124.2,*,
-123.681392651,50.2046695106,D001-0823,1-EPB,0.0,6781.0,"ACID GNEISS",MES.FELS.INTR.,2.7,,*,50.2,-123.7,*,
-123.681392651,50.2046695106,D001-0823,1-EPB,0.0,6781.0,"ACID GNEISS",MES.FELS.INTR.,2.6,,*,50.2,-123.7,*,
-123.663063644,50.304006486,D001-0831,1-EPB,0.0,7527.0,SCHIST,MES.FELS.INTR.,2.7,,*,50.3,-123.7,*,
-123.960410028,50.3180016864,D001-0832,1-EPB,0.0,7423.0,SYENITE,MES.SEDIMENTS,2.8,,*,50.3,-124.0,*,
-123.663063644,50.304006486,D001-0832,1-EPB,0.0,7527.0,"ACID GNEISS",MES.FELS.INTR.,2.7,,*,50.3,-123.7,*,
-124.396581237,50.0644949699,D001-0833,1-EPB,0.0,4285.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.1,-124.4,*,
-124.548426023,50.0636580171,D001-0833,1-EPB,0.0,3716.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.1,-124.5,*,
-124.175411085,50.0663283407,D001-0833,1-EPB,0.0,6001.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.1,-124.2,*,
-124.034908937,50.103831523,D001-0823,1-EPB,0.0,5606.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.1,-124.0,*,
-123.854733359,50.0881662589,D001-0823,1-EPB,0.0,5500.0,GABBRO,MES.FELS.INTR.,2.9,,*,50.1,-123.9,*,
-123.74572563,49.970164152,D001-0823,1-EPB,0.0,6083.0,GABBRO,MES.FELS.INTR.,2.9,,*,50.0,-123.7,*,
-124.381408695,49.9828275599,D001-0833,1-EPB,0.0,3896.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.0,-124.4,*,
-124.381408695,49.9828275599,D001-0833,1-EPB,0.0,3896.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.0,-124.4,*,
-124.836269306,50.0196478285,D007-0023,1-EPB,0.0,0.0,"GRANITE         ",,2.6,,*,50.0,-124.8,*,
-124.574424699,49.9799890355,D001-0833,1-EPB,0.0,3058.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.0,-124.6,*,
-123.240385321,50.2190093934,D001-0831,1-EPB,0.0,7257.0,"MAFIC GNEISS",MES.SEDIMENTS,2.7,,*,50.2,-123.2,*,
-122.556338707,50.2011918776,D001-0831,1-EPB,0.0,6540.0,"MAFIC VOLCANIC",MES.FELS.INTR.,2.8,,*,50.2,-122.6,*,
-122.781863525,50.2483524966,D001-0823,1-EPB,0.0,8518.0,SYENITE,MES.SEDIMENTS,2.8,,*,50.2,-122.8,*,
-123.112552331,50.2908453407,D001-0831,1-EPB,0.0,6517.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.3,-123.1,*,
-123.498223841,50.2715071007,D001-0825,1-EPB,0.0,7988.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.3,-123.5,*,
-123.303389032,50.3423440895,D001-0825,1-EPB,0.0,7405.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.3,-123.3,*,
-123.519890404,50.2588397976,D001-0822,1-EPB,0.0,7531.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.3,-123.5,*,
-122.3964986,50.1958594119,D001-0825,1-EPB,0.0,7350.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.2,-122.4,*,
-122.557485573,49.8121718103,D001-0830,1-EPB,0.0,6755.0,SYENITE,MES.FELS.INTR.,2.9,,*,49.8,-122.6,*,
-122.245154654,50.0741915272,D001-0830,1-EPB,0.0,7172.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.1,-122.2,*,
-122.962368166,50.0595116222,D001-0819,1-EPB,0.0,6881.0,RHYOLITE,MES.SEDIMENTS,2.6,,*,50.1,-123.0,*,
-122.366663416,50.1766933814,D001-0830,1-EPB,0.0,7235.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.2,-122.4,*,
-122.847346883,49.9473488401,D001-0823,1-EPB,0.0,7140.0,SYENITE,MES.FELS.INTR.,2.6,,*,49.9,-122.8,*,
-122.55299704,49.957014681,D001-0830,1-EPB,0.0,6190.0,SYENITE,MES.FELS.INTR.,2.9,,*,50.0,-122.6,*,
-122.283318157,49.9555204661,D001-0829,1-EPB,0.0,7010.0,"MAFIC GNEISS",MES.FELS.INTR.,2.8,,*,50.0,-122.3,*,
-123.051028516,49.982013564,D001-0831,1-EPB,0.0,6446.0,ANDESITE,QUATERNARY,2.4,,*,50.0,-123.1,*,
-122.396160142,50.0340180134,D001-0830,1-EPB,0.0,7358.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.0,-122.4,*,
-124.400988926,50.7903478809,D001-0834,1-EPB,0.0,7186.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.8,-124.4,*,
-123.733087635,50.8275159799,D001-0824,1-EPB,0.0,9508.0,SYENITE,MES.FELS.INTR.,2.6,,*,50.8,-123.7,*,
-123.843417672,50.7385145396,D001-0824,1-EPB,0.0,9639.0,"MAFIC GNEISS",MES.FELS.INTR.,2.8,,*,50.7,-123.8,*,
-124.504667918,50.7861883066,D001-0834,1-EPB,0.0,6545.0,TRACHYTE,MES.FELS.INTR.,2.6,,*,50.8,-124.5,*,
-124.504667918,50.7861883066,D001-0834,1-EPB,0.0,6545.0,TRACHYTE,MES.FELS.INTR.,2.6,,*,50.8,-124.5,*,
-124.031954579,50.87235374,D001-0830,1-EPB,0.0,7824.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.9,-124.0,*,
-124.594849107,50.8796837991,D001-0834,1-EPB,0.0,7566.0,GRANITE,MES.FELS.INTR.,2.8,,*,50.9,-124.6,*,
-124.251981042,50.8806864127,D001-0836,1-EPB,0.0,9310.0,"ACID GNEISS",MES.SEDIMENTS,2.6,,*,50.9,-124.3,*,
-124.670953621,50.4904982333,D001-0832,1-EPB,0.0,6108.0,ANDESITE,MES.FELS.INTR.,2.7,,*,50.5,-124.7,*,
-124.573289254,50.5776673039,D001-0832,1-EPB,0.0,7808.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.6,-124.6,*,
-124.211598769,50.5536751054,D001-0834,1-EPB,0.0,6107.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.6,-124.2,*,
-123.690570738,50.4353406496,D001-0831,1-EPB,0.0,7519.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.4,-123.7,*,
-124.422614677,50.5463392113,D001-0832,1-EPB,0.0,6734.0,SCHIST,MES.FELS.INTR.,3.0,,*,50.5,-124.4,*,
-123.841579375,50.5313439405,D001-0831,1-EPB,0.0,8878.0,SYENITE,MES.FELS.INTR.,2.6,,*,50.5,-123.8,*,
-123.885416035,50.569677709,D001-0834,1-EPB,0.0,7025.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.6,-123.9,*,
-124.139759884,50.4968385483,D001-0836,1-EPB,0.0,6438.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.5,-124.1,*,
-123.799576732,50.5090073024,D001-0833,1-EPB,0.0,8424.0,GRANITE,MES.FELS.INTR.,2.6,,*,50.5,-123.8,*,
-124.702644532,50.6551704896,D001-0832,1-EPB,0.0,7621.0,RHYOLITE,MES.SEDIMENTS,2.7,,*,50.7,-124.7,*,
-124.424795736,50.6506771637,D001-0832,1-EPB,0.0,7365.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.7,-124.4,*,
-124.534309674,50.67734233,D001-0832,1-EPB,0.0,6805.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.7,-124.5,*,
-124.15860542,50.6885100959,D001-0831,1-EPB,0.0,7905.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.7,-124.2,*,
-123.834249947,50.6943462697,D001-0824,1-EPB,0.0,9582.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.7,-123.8,*,
-124.763783229,50.4093243149,D001-0832,1-EPB,0.0,6210.0,ANDESITE,MES.FELS.INTR.,2.7,,*,50.4,-124.8,*,
-124.393771113,50.4080007097,D001-0836,1-EPB,0.0,5823.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.4,-124.4,*,
-124.393771113,50.4080007097,D001-0836,1-EPB,0.0,5823.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.4,-124.4,*,
-124.197427896,50.3908366957,D001-0836,1-EPB,0.0,7206.0,SYENITE,MES.FELS.INTR.,2.8,,*,50.4,-124.2,*,
-123.526413724,50.7926835022,D001-0824,1-EPB,0.0,7403.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.8,-123.5,*,
-123.142068593,50.7973598571,D001-0830,1-EPB,0.0,7626.0,GRANITE,MES.FELS.INTR.,2.7,,*,50.8,-123.1,*,
-122.548204371,50.8537159629,D001-0827,1-EPB,0.0,2103.0,LIMESTONE,PENNSYLVANIAN,2.7,,*,50.9,-122.5,*,
-122.727390738,50.8677146624,D001-0826,1-EPB,0.0,7029.0,BASALT,PENNSYLVANIAN,2.9,,*,50.9,-122.7,*,
-123.085410645,50.8688712886,D001-0826,1-EPB,0.0,7957.0,SYENITE,MES.FELS.INTR.,2.6,,*,50.9,-123.1,*,
-122.634878469,50.8410474809,D001-0827,1-EPB,0.0,7391.0,SLATE,PENNSYLVANIAN,2.6,,*,50.8,-122.6,*,
-123.322408412,50.7276833044,D001-0824,1-EPB,0.0,8562.0,"MAFIC GNEISS",MES.FELS.INTR.,2.7,,*,50.7,-123.3,*,
-123.434745544,50.7066817751,D001-0824,1-EPB,0.0,8357.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.7,-123.4,*,
-123.434745544,50.7066817751,D001-0824,1-EPB,0.0,8357.0,SYENITE,MES.FELS.INTR.,2.7,,*,50.7,-123.4,*,
-122.929396756,50.7880428765,D001-0826,1-EPB,0.0,7075.0,BASALT,TR.SED.VOLC.,2.7,,*,50.8,-122.9,*,
-123.478081013,50.759183291,D001-0824,1-EPB,0.0,7031.0,"MAFIC VOLCANIC",MES.FELS.INTR.,2.3,,*,50.8,-123.5,*,
-122.763554136,50.7740454432,D001-0827,1-EPB,0.0,6837.0,LIMESTONE,PENNSYLVANIAN,2.6,,*,50.8,-122.8,*,
