company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,information,source1,source2,source3,link1,link2,link3,Commodity
MacLeod-Cockshutt Gold Mines Ltd.,MacLeod Mosher Gold Mines Ltd.,MacLeod Mosher Gold Mines Ltd.,Consolidated Mosher Mines Ltd. ,,,,Geraldton ,Ontario,49.67884,-86.93622,1934,1970,,,,,,1,0,0,,,,Gold
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Lead
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Gold
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Silver
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Bismuth
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Tungsten
Island Mountain Mines Co. Ltd. ,,,,,,,,British Columbia,53.101111,-121.58388,1934,1954,,,,,,1,0,0,,,,Zinc
Leitch Gold Mines Ltd,,,,,,,,Ontario,49.62588,-88.0339,1935,1965,,,,,,1,0,0,,,,Gold
Colt Resources Ltd.,,,,,,,Greenwood,British Columbia,49.086388,-117.79138,1936,1995,,,,,,1,0,0,,,,Silver
Colt Resources Ltd.,,,,,,,Greenwood,British Columbia,49.086388,-117.79138,1936,1995,,,,,,1,0,0,,,,Copper
Colt Resources Ltd.,,,,,,,Greenwood,British Columbia,49.086388,-117.79138,1936,1995,,,,,,1,0,0,,,,Cobalt
Colt Resources Ltd.,,,,,,,Greenwood,British Columbia,49.086388,-117.79138,1936,1995,,,,,,1,0,0,,,,Gold
Murray Collieries Ltd.,,,,,,,,Alberta,51.32831643,-112.5183234,1936,1959,,,,,,1,0,0,,,,Coal
Delnite Mines Ltd. ,,,,,,,,Ontario,48.43722,-81.29701,1937,1963,,,,,,1,0,0,,,,Gold
Preston East Dome Mines Ltd. ,,,,,,,,Ontario,48.45524,-81.2393,1939,1967,,,,,,1,0,0,,,,Gold
Cominco Ltd.,,,,,,Pinchi Lake,Fort St. James ,British Columbia,54.632777,-124.43722,1940,1975,,,,,,1,0,0,,,,Mercury
Egg Kale Coal Co. Ltd. ,,,,,,,Morinville,Alberta,53.8883266,-113.7289473,1941,2004,,,,,,1,0,0,,,,Coal
Alberta Coal Sales Ltd.,,,,,,,,Alberta,49.80567707,-112.1788169,1943,1968,,,,,,1,0,0,,,,Coal
Mining Corporation of Canada (1964) Ltd.,,,,,,New Joburke Property,Keith Twp,Ontario,48.14714,-82.2833,1946,1974,,,,,,1,0,0,,,,Gold
H. G. Young Mines Ltd. ,,,,,,,,Ontario,51.07547,-93.74805,1946,1962,,,,,,1,0,0,,,,Gold
North West Coal Co. Ltd. ,,,,,,,,Saskatchewan,49.142675,-102.858797,1947,1965,,,,,,1,0,0,,,,Coal
Giant Yellowknife Gold Mines Ltd.,Royal Oak Mines Inc.,Lolor Mines Ltd.,Supercrest Mines Ltd.,,,Giant,Yellowknife ,Northwest Territories,62.5,-114.35,1948,2004,,,,,"The property is now under the management of the Department of Indian Affairs and Northern Development (D.I.A.N.D.), which assumed ownership of the property in 1999. Reclamation activities surrounding the underground arsenic trioxide storage problem are ongoing. Other sections of the property are under ownership of the City of Yellowknife and will be utilized for future recreational purpose (source1 (Silke), p.246)",1,0,0,,,,Gold
Reeves MacDonald Mines Ltd.,,,,,,,Remac ,British Columbia,49.024443,-117.35222,1949,1971,,,,,,1,0,0,,,,Lead
