X,Y,OBJECTID,SMDI,NAME,HISTORICNAMES,PRIMARYCOMMODITIES,ASSOCIATEDCOMMODITIES,GROUPING,DISCOVERYTYPE,STATUS,PRODUCTION,RESERVESRESOURCES,UTM13E,UTM13N,WEBLINK,SYMBOLOGY_STATUS,SYMBOLOGY_GROUPING,GLOBALID
426251.72,6265466.14,2149,2007,Getty Minerals Radioactive Zone 1-2,Getty Minerals Radioactive Zone 1-2,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,426251.72,6265466.14,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2007,Occurrence: Primary Exploration,Uranium,{5370DD54-C0E2-4A1C-B4F7-A0A32B1C6A26}
427503.67,6264671.15,2150,2008,Getty Minerals Radioactive Zone 1-3,Getty Minerals Radioactive Zone 1-3,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,427503.67,6264671.15,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2008,Occurrence: Primary Exploration,Uranium,{54DD7314-FF2A-438D-957C-7CD7E6ED1B88}
429457.6,6271132.06,2151,2009,Getty Minerals Radioactive Zone 2-3,Getty Minerals Radioactive Zone 2-3,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,429457.6,6271132.06,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2009,Occurrence: Primary Exploration,Uranium,{7E4C5F0D-2773-4EEC-98BE-6DC83EA7381C}
430629.56,6272845.04,2152,2010,Getty Minerals Radioactive Zone 2-6,Getty Minerals Radioactive Zone 2-6,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,430629.56,6272845.04,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2010,Occurrence: Primary Exploration,Uranium,{F34A4711-E15C-4205-8110-F2E5DEC43B68}
428836.62,6271761.05,2153,2011,Getty Minerals Radioactive Zone 2-7,Getty Minerals Radioactive Zone 2-7,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,428836.62,6271761.05,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2011,Occurrence: Primary Exploration,Uranium,{A13553FF-A7E5-48F4-B288-A551E18647BF}
538359.57,6338900.08,2154,2012,Radioactive Boulders RG-6-3B and RG-6-4B,Radioactive Boulders RG-6-3B and RG-6-4B,Uranium,"Copper, Lead, Molybdenum",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,538359.57,6338900.08,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2012,Anomaly,Uranium,{A71B4B2A-BF00-4FDD-AD89-10FEF931CA0C}
522395.17,6319951.37,2155,2013,Pendleton Lake Esker Complex Radioactive Boulder Train,Pendleton Lake Esker Complex Radioactive Boulder Train,Uranium,"Lead, Thorium, Vanadium",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,522395.17,6319951.37,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2013,Anomaly,Uranium,{317066DB-6033-4888-8837-9EB4F8CB6796}
526453.02,6323623.31,2156,2014,Pendleton Lake Radioactive Boulder Fan (boulder 80-PE-11RB),Pendleton Lake Radioactive Boulder Fan (boulder 80-PE-11RB),Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,526453.02,6323623.31,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2014,Anomaly,Uranium,{35176866-A55F-42B5-8734-837390EA9012}
524510.09,6321787.34,2157,2015,"Radioactive Boulders 80-PE-2RB, 80-PE-16RB, and 80-PE-20RB","Radioactive Boulders 80-PE-2RB, 80-PE-16RB, and 80-PE-20RB",Uranium,"Copper, Lead, Molybdenum, Nickel, Thorium, Zinc",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,524510.09,6321787.34,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2015,Anomaly,Uranium,{793AB8C8-0460-40F2-942D-315402F87DC6}
527226.98,6346820.96,2158,2016,Agip S Uranium Zone,Agip S Uranium Zone,Uranium,"Lead, Rare Earth Element (Unspecified)",Uranium,Trench,Occurrence: Primary Exploration,No,No,527226.98,6346820.96,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2016,Occurrence: Primary Exploration,Uranium,{E129A307-D8E8-43A0-BEFE-5725C52720D1}
525633.04,6341770.04,2159,2017,Agip Canada Grid T Uranium Occurrence,Agip Canada Grid T Uranium Occurrence,Uranium,Diopside,Uranium,Trench,Occurrence: Primary Exploration,No,No,525633.04,6341770.04,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2017,Occurrence: Primary Exploration,Uranium,{AE147009-1E6B-4224-9CA9-9DA07EA3333F}
528470.94,6343830.0,2160,2018,"Radioactive Boulders R-2010-4a, -08, -10, and -12","Radioactive Boulders R-2010-4a, -08, -10, and -12",Uranium,"Molybdenum, Nickel",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,528470.94,6343830,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2018,Anomaly,Uranium,{F4CDF7F1-5122-4740-A419-D872720DABB3}
524201.1,6339968.06,2161,2019,Alexander Lake Radioactive Boulder Fan,Alexander Lake Radioactive Boulder Fan,Uranium,"Arsenic, Cobalt, Copper, Molybdenum, Nickel, Vanadium",Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,524201.1,6339968.06,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2019,Anomaly,Uranium,{F10A33E3-66E2-4A24-AC4D-68378D7B19CF}
503410.87,6334672.15,2162,2020,Big Sandy Lake Radioactive Boulder Fan,Big Sandy Lake Radioactive Boulder Fan,Uranium,Iron,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,503410.87,6334672.15,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2020,Anomaly,Uranium,{2C3D5362-8806-4342-A240-4E48E273BD8F}
513578.49,6339424.07,2163,2021,Boulder Grab Sample 2054,Boulder Grab Sample 2054,Uranium,,Uranium,Float Rock,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,513578.49,6339424.07,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2021,Anomaly,Uranium,{AB1E020D-83E9-43F2-AC89-B575EECA0E5A}
475794.9,6330567.21,2164,2022,Robert's Uranium Showing,Robert's Uranium Showing,Uranium,,Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,475794.9,6330567.21,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2022,Occurrence: Primary Exploration,Uranium,{C915312A-1DF9-46A1-ADD0-E66388DCBB11}
461929.41,6322879.32,2165,2023,Grab sample G-1000,Grab sample G-1000,Uranium,"Apatite, Light Rare Earth Element (Unspecified), Rare Earth Element (Unspecified), Thorium",Uranium,Outcrop grab,Occurrence: Primary Exploration,No,No,461929.41,6322879.32,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/2023,Occurrence: Primary Exploration,Uranium,{6D67BA03-0FD9-4207-B79B-C50723779FF2}
